Record_ID,Parking_Lot_ID,Parking_Lot_Name,Date,Time,Day_of_Week,Is_Weekend,Weather,Temperature_C,Holiday,Capacity,Occupied_Spaces,Available_Spaces,Occupancy_Rate,Parking_Status
74,P008,Bus Station,2025-01-04,02:00,Saturday,Yes,Foggy,18,No,400,152,248,0.38,Available
75,P007,University,2025-01-04,03:00,Saturday,Yes,Cloudy,25,Yes,250,95,155,0.38,Available
76,P005,Tech Park,2025-01-04,04:00,Saturday,Yes,Foggy,33,No,150,45,105,0.3,Available
77,P002,City Center,2025-01-04,05:00,Saturday,Yes,Sunny,39,No,120,31,89,0.26,Available
78,P002,City Center,2025-01-04,06:00,Saturday,Yes,Rainy,20,No,150,60,90,0.4,Available
79,P007,University,2025-01-04,07:00,Saturday,Yes,Foggy,38,No,120,30,90,0.25,Available
80,P003,Railway Station,2025-01-04,08:00,Saturday,Yes,Cloudy,38,No,200,159,41,0.8,Available
81,P003,Railway Station,2025-01-04,09:00,Saturday,Yes,Cloudy,28,No,300,223,77,0.74,Available
82,P005,Tech Park,2025-01-04,10:00,Saturday,Yes,Foggy,21,No,180,123,57,0.68,Available
83,P001,Central Mall,2025-01-04,11:00,Saturday,Yes,Cloudy,20,No,120,22,98,0.18,Available
84,P003,Railway Station,2025-01-04,12:00,Saturday,Yes,Foggy,37,No,300,93,207,0.31,Available
85,P007,University,2025-01-04,13:00,Saturday,Yes,Sunny,22,No,180,61,119,0.34,Available
86,P007,University,2025-01-04,14:00,Saturday,Yes,Sunny,31,No,180,70,110,0.39,Available
87,P001,Central Mall,2025-01-04,15:00,Saturday,Yes,Cloudy,33,No,350,110,240,0.31,Available
88,P002,City Center,2025-01-04,16:00,Saturday,Yes,Foggy,32,No,400,133,267,0.33,Available
89,P003,Railway Station,2025-01-04,17:00,Saturday,Yes,Rainy,33,No,180,125,55,0.69,Available
90,P002,City Center,2025-01-04,18:00,Saturday,Yes,Sunny,31,Yes,150,102,48,0.68,Available
91,P003,Railway Station,2025-01-04,19:00,Saturday,Yes,Cloudy,23,Yes,100,58,42,0.58,Available
92,P002,City Center,2025-01-04,20:00,Saturday,Yes,Rainy,39,No,100,56,44,0.56,Available
93,P002,City Center,2025-01-04,21:00,Saturday,Yes,Cloudy,19,No,120,38,82,0.32,Available
94,P005,Tech Park,2025-01-04,22:00,Saturday,Yes,Foggy,29,No,100,15,85,0.15,Available
95,P006,Hospital,2025-01-04,23:00,Saturday,Yes,Foggy,39,No,250,94,156,0.38,Available
96,P004,Airport,2025-01-05,00:00,Sunday,Yes,Foggy,37,No,180,67,113,0.37,Available
97,P005,Tech Park,2025-01-05,01:00,Sunday,Yes,Foggy,25,No,300,125,175,0.42,Available
98,P004,Airport,2025-01-05,02:00,Sunday,Yes,Rainy,37,No,200,86,114,0.43,Available
99,P005,Tech Park,2025-01-05,03:00,Sunday,Yes,Sunny,40,No,350,111,239,0.32,Available
100,P001,Central Mall,2025-01-05,04:00,Sunday,Yes,Sunny,32,No,200,65,135,0.33,Available
101,P003,Railway Station,2025-01-05,05:00,Sunday,Yes,Rainy,34,No,400,146,254,0.36,Available
102,P006,Hospital,2025-01-05,06:00,Sunday,Yes,Rainy,23,No,100,38,62,0.38,Available
103,P008,Bus Station,2025-01-05,07:00,Sunday,Yes,Sunny,21,No,250,84,166,0.34,Available
104,P004,Airport,2025-01-05,08:00,Sunday,Yes,Cloudy,21,No,150,98,52,0.65,Available
105,P003,Railway Station,2025-01-05,09:00,Sunday,Yes,Foggy,20,No,250,159,91,0.64,Available
106,P004,Airport,2025-01-05,10:00,Sunday,Yes,Rainy,20,No,400,290,110,0.72,Available
107,P003,Railway Station,2025-01-05,11:00,Sunday,Yes,Sunny,27,Yes,250,83,167,0.33,Available
108,P007,University,2025-01-05,12:00,Sunday,Yes,Sunny,27,No,250,107,143,0.43,Available
109,P003,Railway Station,2025-01-05,13:00,Sunday,Yes,Rainy,32,No,180,77,103,0.43,Available
110,P005,Tech Park,2025-01-05,14:00,Sunday,Yes,Cloudy,33,No,150,64,86,0.43,Available
111,P007,University,2025-01-05,15:00,Sunday,Yes,Sunny,37,No,120,36,84,0.3,Available
112,P008,Bus Station,2025-01-05,16:00,Sunday,Yes,Foggy,36,Yes,250,104,146,0.42,Available
113,P003,Railway Station,2025-01-05,17:00,Sunday,Yes,Cloudy,23,No,400,260,140,0.65,Available
114,P007,University,2025-01-05,18:00,Sunday,Yes,Rainy,31,No,120,94,26,0.78,Available
115,P005,Tech Park,2025-01-05,19:00,Sunday,Yes,Sunny,36,No,250,195,55,0.78,Available
116,P006,Hospital,2025-01-05,20:00,Sunday,Yes,Foggy,24,No,150,103,47,0.69,Available
117,P005,Tech Park,2025-01-05,21:00,Sunday,Yes,Rainy,30,No,350,120,230,0.34,Available
118,P002,City Center,2025-01-05,22:00,Sunday,Yes,Rainy,28,No,400,128,272,0.32,Available
119,P005,Tech Park,2025-01-05,23:00,Sunday,Yes,Cloudy,21,No,120,36,84,0.3,Available
120,P004,Airport,2025-01-06,00:00,Monday,No,Sunny,27,No,200,73,127,0.36,Available
121,P007,University,2025-01-06,01:00,Monday,No,Sunny,35,No,250,101,149,0.4,Available
122,P006,Hospital,2025-01-06,02:00,Monday,No,Rainy,35,No,100,62,38,0.62,Available
123,P007,University,2025-01-06,03:00,Monday,No,Foggy,22,No,100,64,36,0.64,Available
124,P002,City Center,2025-01-06,04:00,Monday,No,Foggy,39,No,180,62,118,0.34,Available
125,P004,Airport,2025-01-06,05:00,Monday,No,Sunny,26,No,150,71,79,0.47,Available
126,P002,City Center,2025-01-06,06:00,Monday,No,Cloudy,32,No,400,161,239,0.4,Available
127,P005,Tech Park,2025-01-06,07:00,Monday,No,Rainy,28,No,120,56,64,0.47,Available
128,P002,City Center,2025-01-06,08:00,Monday,No,Cloudy,34,No,180,132,48,0.73,Available
129,P007,University,2025-01-06,09:00,Monday,No,Rainy,20,No,300,225,75,0.75,Available
130,P007,University,2025-01-06,10:00,Monday,No,Sunny,28,No,300,260,40,0.87,Available
131,P007,University,2025-01-06,11:00,Monday,No,Rainy,34,No,100,41,59,0.41,Available
132,P007,University,2025-01-06,12:00,Monday,No,Rainy,30,No,180,76,104,0.42,Available
133,P001,Central Mall,2025-01-06,13:00,Monday,No,Cloudy,29,No,300,119,181,0.4,Available
134,P003,Railway Station,2025-01-06,14:00,Monday,No,Foggy,29,No,180,98,82,0.54,Available
135,P008,Bus Station,2025-01-06,15:00,Monday,No,Sunny,33,No,100,38,62,0.38,Available
136,P003,Railway Station,2025-01-06,16:00,Monday,No,Sunny,20,No,250,93,157,0.37,Available
137,P005,Tech Park,2025-01-06,17:00,Monday,No,Foggy,36,No,250,196,54,0.78,Available
138,P004,Airport,2025-01-06,18:00,Monday,No,Sunny,22,No,250,189,61,0.76,Available
139,P005,Tech Park,2025-01-06,19:00,Monday,No,Rainy,23,No,100,86,14,0.86,Full
140,P004,Airport,2025-01-06,20:00,Monday,No,Cloudy,26,No,180,155,25,0.86,Available
141,P007,University,2025-01-06,21:00,Monday,No,Foggy,19,No,120,50,70,0.42,Available
142,P002,City Center,2025-01-06,22:00,Monday,No,Rainy,20,No,400,195,205,0.49,Available
143,P006,Hospital,2025-01-06,23:00,Monday,No,Cloudy,20,No,120,57,63,0.47,Available
144,P002,City Center,2025-01-07,00:00,Tuesday,No,Sunny,35,No,200,78,122,0.39,Available
145,P008,Bus Station,2025-01-07,01:00,Tuesday,No,Rainy,26,No,100,58,42,0.58,Available
146,P003,Railway Station,2025-01-07,02:00,Tuesday,No,Sunny,40,No,120,74,46,0.62,Available
147,P006,Hospital,2025-01-07,03:00,Tuesday,No,Cloudy,40,No,400,191,209,0.48,Available
148,P001,Central Mall,2025-01-07,04:00,Tuesday,No,Foggy,23,No,120,51,69,0.42,Available
149,P001,Central Mall,2025-01-07,05:00,Tuesday,No,Foggy,40,No,120,53,67,0.44,Available
150,P005,Tech Park,2025-01-07,06:00,Tuesday,No,Sunny,20,No,100,43,57,0.43,Available
151,P003,Railway Station,2025-01-07,07:00,Tuesday,No,Rainy,27,No,120,50,70,0.42,Available
152,P002,City Center,2025-01-07,08:00,Tuesday,No,Rainy,39,No,150,137,13,0.91,Full
153,P004,Airport,2025-01-07,09:00,Tuesday,No,Cloudy,18,No,200,157,43,0.79,Available
154,P006,Hospital,2025-01-07,10:00,Tuesday,No,Cloudy,38,No,150,129,21,0.86,Available
155,P005,Tech Park,2025-01-07,11:00,Tuesday,No,Cloudy,30,No,250,129,121,0.52,Available
156,P007,University,2025-01-07,12:00,Tuesday,No,Rainy,40,No,200,106,94,0.53,Available
157,P008,Bus Station,2025-01-07,13:00,Tuesday,No,Foggy,30,No,400,171,229,0.43,Available
158,P006,Hospital,2025-01-07,14:00,Tuesday,No,Cloudy,18,No,300,128,172,0.43,Available
159,P008,Bus Station,2025-01-07,15:00,Tuesday,No,Cloudy,27,No,250,125,125,0.5,Available
160,P003,Railway Station,2025-01-07,16:00,Tuesday,No,Foggy,18,No,100,61,39,0.61,Available
161,P008,Bus Station,2025-01-07,17:00,Tuesday,No,Sunny,38,No,250,206,44,0.82,Available
162,P006,Hospital,2025-01-07,18:00,Tuesday,No,Foggy,33,No,350,284,66,0.81,Available
163,P004,Airport,2025-01-07,19:00,Tuesday,No,Cloudy,22,No,100,83,17,0.83,Full
164,P003,Railway Station,2025-01-07,20:00,Tuesday,No,Foggy,27,No,350,267,83,0.76,Available
165,P005,Tech Park,2025-01-07,21:00,Tuesday,No,Rainy,19,No,200,81,119,0.41,Available
166,P006,Hospital,2025-01-07,22:00,Tuesday,No,Rainy,24,No,200,101,99,0.51,Available
167,P004,Airport,2025-01-07,23:00,Tuesday,No,Foggy,35,No,150,52,98,0.35,Available
168,P007,University,2025-01-08,00:00,Wednesday,No,Sunny,22,No,100,26,74,0.26,Available
169,P007,University,2025-01-08,01:00,Wednesday,No,Cloudy,25,No,200,106,94,0.53,Available
170,P007,University,2025-01-08,02:00,Wednesday,No,Cloudy,19,No,150,59,91,0.39,Available
171,P005,Tech Park,2025-01-08,03:00,Wednesday,No,Cloudy,21,No,120,72,48,0.6,Available
172,P006,Hospital,2025-01-08,04:00,Wednesday,No,Rainy,21,No,180,101,79,0.56,Available
173,P005,Tech Park,2025-01-08,05:00,Wednesday,No,Sunny,27,No,300,133,167,0.44,Available
174,P008,Bus Station,2025-01-08,06:00,Wednesday,No,Sunny,34,No,400,184,216,0.46,Available
175,P002,City Center,2025-01-08,07:00,Wednesday,No,Foggy,18,No,180,91,89,0.51,Available
176,P007,University,2025-01-08,08:00,Wednesday,No,Sunny,24,No,200,143,57,0.71,Available
177,P007,University,2025-01-08,09:00,Wednesday,No,Sunny,34,No,350,271,79,0.77,Available
178,P008,Bus Station,2025-01-08,10:00,Wednesday,No,Rainy,30,No,200,178,22,0.89,Available
179,P001,Central Mall,2025-01-08,11:00,Wednesday,No,Cloudy,33,No,400,193,207,0.48,Available
180,P007,University,2025-01-08,12:00,Wednesday,No,Sunny,19,No,180,80,100,0.44,Available
181,P001,Central Mall,2025-01-08,13:00,Wednesday,No,Rainy,29,No,250,94,156,0.38,Available
182,P002,City Center,2025-01-08,14:00,Wednesday,No,Cloudy,26,No,180,64,116,0.36,Available
183,P004,Airport,2025-01-08,15:00,Wednesday,No,Rainy,22,No,250,114,136,0.46,Available
184,P008,Bus Station,2025-01-08,16:00,Wednesday,No,Sunny,39,No,200,85,115,0.42,Available
185,P001,Central Mall,2025-01-08,17:00,Wednesday,No,Rainy,37,No,300,258,42,0.86,Available
186,P002,City Center,2025-01-08,18:00,Wednesday,No,Cloudy,37,No,250,205,45,0.82,Available
187,P008,Bus Station,2025-01-08,19:00,Wednesday,No,Sunny,20,No,100,78,22,0.78,Available
188,P006,Hospital,2025-01-08,20:00,Wednesday,No,Foggy,29,No,200,160,40,0.8,Available
189,P004,Airport,2025-01-08,21:00,Wednesday,No,Rainy,22,No,400,177,223,0.44,Available
190,P002,City Center,2025-01-08,22:00,Wednesday,No,Rainy,34,No,300,142,158,0.47,Available
191,P001,Central Mall,2025-01-08,23:00,Wednesday,No,Cloudy,24,No,250,111,139,0.44,Available
192,P008,Bus Station,2025-01-09,00:00,Thursday,No,Rainy,19,No,300,117,183,0.39,Available
193,P003,Railway Station,2025-01-09,01:00,Thursday,No,Sunny,40,No,200,109,91,0.55,Available
194,P008,Bus Station,2025-01-09,02:00,Thursday,No,Cloudy,31,No,400,177,223,0.44,Available
195,P005,Tech Park,2025-01-09,03:00,Thursday,No,Cloudy,25,No,180,74,106,0.41,Available
196,P001,Central Mall,2025-01-09,04:00,Thursday,No,Foggy,35,No,150,81,69,0.54,Available
197,P007,University,2025-01-09,05:00,Thursday,No,Sunny,28,No,150,48,102,0.32,Available
198,P002,City Center,2025-01-09,06:00,Thursday,No,Foggy,22,Yes,100,47,53,0.47,Available
199,P004,Airport,2025-01-09,07:00,Thursday,No,Sunny,27,No,200,102,98,0.51,Available
200,P005,Tech Park,2025-01-09,08:00,Thursday,No,Rainy,21,Yes,350,265,85,0.76,Available
201,P001,Central Mall,2025-01-09,09:00,Thursday,No,Foggy,40,Yes,200,141,59,0.7,Available
202,P006,Hospital,2025-01-09,10:00,Thursday,No,Cloudy,37,No,400,330,70,0.82,Available
203,P006,Hospital,2025-01-09,11:00,Thursday,No,Rainy,30,No,300,140,160,0.47,Available
204,P004,Airport,2025-01-09,12:00,Thursday,No,Rainy,28,No,350,155,195,0.44,Available
205,P001,Central Mall,2025-01-09,13:00,Thursday,No,Cloudy,36,No,100,64,36,0.64,Available
206,P006,Hospital,2025-01-09,14:00,Thursday,No,Cloudy,25,No,100,51,49,0.51,Available
207,P002,City Center,2025-01-09,15:00,Thursday,No,Foggy,21,No,100,57,43,0.57,Available
208,P006,Hospital,2025-01-09,16:00,Thursday,No,Sunny,20,No,100,54,46,0.54,Available
209,P004,Airport,2025-01-09,17:00,Thursday,No,Rainy,28,No,150,127,23,0.85,Available
210,P005,Tech Park,2025-01-09,18:00,Thursday,No,Rainy,27,No,350,275,75,0.79,Available
211,P003,Railway Station,2025-01-09,19:00,Thursday,No,Rainy,31,No,250,188,62,0.75,Available
212,P003,Railway Station,2025-01-09,20:00,Thursday,No,Cloudy,24,No,100,63,37,0.63,Available
213,P003,Railway Station,2025-01-09,21:00,Thursday,No,Rainy,22,No,180,79,101,0.44,Available
214,P007,University,2025-01-09,22:00,Thursday,No,Cloudy,18,No,400,184,216,0.46,Available
215,P006,Hospital,2025-01-09,23:00,Thursday,No,Foggy,20,No,180,67,113,0.37,Available
216,P002,City Center,2025-01-10,00:00,Friday,No,Foggy,18,No,150,76,74,0.51,Available
217,P004,Airport,2025-01-10,01:00,Friday,No,Rainy,26,No,100,64,36,0.64,Available
218,P002,City Center,2025-01-10,02:00,Friday,No,Cloudy,38,No,300,152,148,0.51,Available
219,P005,Tech Park,2025-01-10,03:00,Friday,No,Sunny,33,No,200,73,127,0.36,Available
220,P001,Central Mall,2025-01-10,04:00,Friday,No,Foggy,22,No,200,109,91,0.55,Available
221,P005,Tech Park,2025-01-10,05:00,Friday,No,Sunny,20,No,150,55,95,0.37,Available
222,P008,Bus Station,2025-01-10,06:00,Friday,No,Foggy,29,No,100,27,73,0.27,Available
223,P006,Hospital,2025-01-10,07:00,Friday,No,Foggy,19,No,300,142,158,0.47,Available
224,P006,Hospital,2025-01-10,08:00,Friday,No,Foggy,35,No,100,94,6,0.94,Full
225,P001,Central Mall,2025-01-10,09:00,Friday,No,Foggy,28,No,300,253,47,0.84,Available
226,P004,Airport,2025-01-10,10:00,Friday,No,Rainy,27,No,350,287,63,0.82,Available
227,P008,Bus Station,2025-01-10,11:00,Friday,No,Rainy,19,No,350,146,204,0.42,Available
228,P005,Tech Park,2025-01-10,12:00,Friday,No,Sunny,39,No,150,63,87,0.42,Available
229,P004,Airport,2025-01-10,13:00,Friday,No,Sunny,35,No,350,148,202,0.42,Available
230,P002,City Center,2025-01-10,14:00,Friday,No,Rainy,30,No,100,54,46,0.54,Available
231,P004,Airport,2025-01-10,15:00,Friday,No,Sunny,29,No,400,197,203,0.49,Available
232,P003,Railway Station,2025-01-10,16:00,Friday,No,Rainy,30,No,350,138,212,0.39,Available
233,P008,Bus Station,2025-01-10,17:00,Friday,No,Cloudy,36,No,400,322,78,0.81,Available
234,P008,Bus Station,2025-01-10,18:00,Friday,No,Rainy,29,No,180,136,44,0.76,Available
235,P008,Bus Station,2025-01-10,19:00,Friday,No,Rainy,39,No,400,322,78,0.81,Available
236,P003,Railway Station,2025-01-10,20:00,Friday,No,Rainy,32,No,120,88,32,0.73,Available
237,P008,Bus Station,2025-01-10,21:00,Friday,No,Cloudy,29,No,200,77,123,0.39,Available
238,P003,Railway Station,2025-01-10,22:00,Friday,No,Rainy,39,No,100,62,38,0.62,Available
239,P005,Tech Park,2025-01-10,23:00,Friday,No,Sunny,31,No,180,85,95,0.47,Available
240,P005,Tech Park,2025-01-11,00:00,Saturday,Yes,Rainy,39,No,300,103,197,0.34,Available
241,P003,Railway Station,2025-01-11,01:00,Saturday,Yes,Cloudy,18,No,100,18,82,0.18,Available
242,P006,Hospital,2025-01-11,02:00,Saturday,Yes,Sunny,34,No,180,55,125,0.31,Available
243,P005,Tech Park,2025-01-11,03:00,Saturday,Yes,Cloudy,27,No,120,48,72,0.4,Available
244,P002,City Center,2025-01-11,04:00,Saturday,Yes,Foggy,19,No,120,58,62,0.48,Available
245,P003,Railway Station,2025-01-11,05:00,Saturday,Yes,Cloudy,30,No,200,82,118,0.41,Available
246,P008,Bus Station,2025-01-11,06:00,Saturday,Yes,Cloudy,30,No,300,101,199,0.34,Available
247,P002,City Center,2025-01-11,07:00,Saturday,Yes,Rainy,28,No,180,42,138,0.23,Available
248,P003,Railway Station,2025-01-11,08:00,Saturday,Yes,Rainy,32,No,250,183,67,0.73,Available
249,P008,Bus Station,2025-01-11,09:00,Saturday,Yes,Sunny,24,No,120,69,51,0.57,Available
250,P002,City Center,2025-01-11,10:00,Saturday,Yes,Foggy,24,No,150,103,47,0.69,Available
251,P002,City Center,2025-01-11,11:00,Saturday,Yes,Rainy,39,No,180,75,105,0.42,Available
252,P001,Central Mall,2025-01-11,12:00,Saturday,Yes,Rainy,21,No,350,112,238,0.32,Available
253,P001,Central Mall,2025-01-11,13:00,Saturday,Yes,Foggy,18,No,200,77,123,0.39,Available
254,P003,Railway Station,2025-01-11,14:00,Saturday,Yes,Cloudy,18,No,200,56,144,0.28,Available
255,P001,Central Mall,2025-01-11,15:00,Saturday,Yes,Foggy,18,No,250,98,152,0.39,Available
256,P004,Airport,2025-01-11,16:00,Saturday,Yes,Sunny,25,No,180,76,104,0.42,Available
257,P003,Railway Station,2025-01-11,17:00,Saturday,Yes,Foggy,38,No,400,271,129,0.68,Available
258,P004,Airport,2025-01-11,18:00,Saturday,Yes,Sunny,26,No,250,190,60,0.76,Available
259,P005,Tech Park,2025-01-11,19:00,Saturday,Yes,Cloudy,27,No,200,132,68,0.66,Available
260,P003,Railway Station,2025-01-11,20:00,Saturday,Yes,Sunny,25,No,120,93,27,0.78,Available
261,P002,City Center,2025-01-11,21:00,Saturday,Yes,Rainy,18,No,350,141,209,0.4,Available
262,P007,University,2025-01-11,22:00,Saturday,Yes,Rainy,38,No,400,153,247,0.38,Available
263,P008,Bus Station,2025-01-11,23:00,Saturday,Yes,Rainy,27,No,150,62,88,0.41,Available
264,P003,Railway Station,2025-01-12,00:00,Sunday,Yes,Foggy,19,No,200,72,128,0.36,Available
265,P004,Airport,2025-01-12,01:00,Sunday,Yes,Foggy,32,No,120,57,63,0.47,Available
266,P001,Central Mall,2025-01-12,02:00,Sunday,Yes,Cloudy,38,No,350,120,230,0.34,Available
267,P002,City Center,2025-01-12,03:00,Sunday,Yes,Cloudy,26,Yes,100,23,77,0.23,Available
268,P006,Hospital,2025-01-12,04:00,Sunday,Yes,Foggy,31,No,180,58,122,0.32,Available
269,P002,City Center,2025-01-12,05:00,Sunday,Yes,Rainy,38,Yes,150,44,106,0.29,Available
270,P003,Railway Station,2025-01-12,06:00,Sunday,Yes,Rainy,20,No,300,97,203,0.32,Available
